id,subject_id,title,order_index
1,1,Class 1 - Chapter 1: Shapes and Space,1
2,1,Class 1 - Chapter 2: Numbers from One to Nine,2
3,1,Class 1 - Chapter 3: Addition (Sum up to 9),3
4,1,Class 1 - Chapter 4: Subtraction (Take Away),4
5,1,Class 1 - Chapter 5: Numbers from Ten to Twenty,5
6,1,Class 1 - Chapter 6: Time & Daily Routine,6
7,1,Class 1 - Chapter 7: Measurement,7
8,1,Class 1 - Chapter 8: Patterns,8
9,1,"Class 2 - Chapter 1: What is Long, What is Round?",1
10,1,Class 2 - Chapter 2: Counting in Groups,2
11,1,Class 2 - Chapter 3: How Much Can You Carry?,3
12,1,Class 2 - Chapter 4: Counting in Tens & Tens and Ones,4
13,1,Class 2 - Chapter 5: Patterns in Nature and Numbers,5
14,1,Class 2 - Chapter 6: Jugs and Mugs (Liquid Capacity),6
15,1,Class 2 - Chapter 7: Add Our Points & Give and Take,7
16,1,Class 3 - Chapter 1: Where to Look From (Perspective),1
17,1,Class 3 - Chapter 2: Fun with Numbers (3-Digit Numbers),2
18,1,Class 3 - Chapter 3: Give and Take (Addition & Subtraction),3
19,1,Class 3 - Chapter 4: Long and Short (Metric Measurement),4
20,1,Class 3 - Chapter 5: Shapes and Designs,5
21,1,Class 3 - Chapter 6: Time Goes On (Clocks & Calendar),6
22,1,Class 3 - Chapter 7: How Many Times? (Multiplication),7
23,1,Class 3 - Chapter 8: Can We Share? (Division),8
24,1,Class 4 - Chapter 1: Building with Bricks (3D Shapes & Patterns),1
25,1,Class 4 - Chapter 2: Long and Short (Distance & Conversion),2
26,1,Class 4 - Chapter 3: A Trip to Bhopal (Multi-Operation Math),3
27,1,"Class 4 - Chapter 4: Tick-Tick-Tick (Clocks, 24-Hour Time & Elapsed Time)",4
28,1,"Class 4 - Chapter 5: The Junk Seller (Currency, Invoices & Multiplication)",5
29,1,Class 4 - Chapter 6: Halves and Quarters (Fraction Basics),6
30,1,Class 4 - Chapter 7: Tables and Shares (Division & Word Problems),7
31,1,Class 4 - Chapter 8: Fields and Fences (Perimeter & Area Intro),8
32,1,Class 5 - Chapter 1: The Fish Tale (Large Numbers & Speed-Time),1
33,1,Class 5 - Chapter 2: Shapes and Angles,2
34,1,Class 5 - Chapter 3: How Many Squares? (Area & Grid Units),3
35,1,Class 5 - Chapter 4: Parts and Wholes (Advanced Fractions),4
36,1,"Class 5 - Chapter 5: Be My Multiple, I'll be Your Factor",5
37,1,Class 5 - Chapter 6: Tenths and Hundredths (Decimals),6
38,1,Class 5 - Chapter 7: Area and its Boundary,7
39,1,Class 6 - Chapter 1: Knowing Our Numbers,1
40,1,Class 6 - Chapter 2: Whole Numbers,2
41,1,Class 6 - Chapter 3: Playing with Numbers,3
42,1,Class 6 - Chapter 4: Basic Geometrical Ideas,4
43,1,Class 6 - Chapter 5: Integers,5
44,1,Class 6 - Chapter 6: Fractions and Decimals,6
45,1,Class 6 - Chapter 7: Introduction to Algebra,7
46,1,Class 6 - Chapter 8: Ratio and Proportion,8
47,1,Class 7 - Chapter 1: Integers,1
