user_id,age_group,education_level,neurodivergence_type,primary_challenge,prior_elearning_experience,font_type,font_size_pt,color_theme,layout_mode,content_format,text_to_speech_enabled,session_reminder_used,session_duration_min,task_completion_rate,number_of_setting_changes,errors_or_backtracks,sus_score,engagement_score,would_recommend,feedback_theme
WALS-100304,Higher Ed (18-24),Undergraduate,ADHD,Attention & Distraction,Some,Standard,12,Default,Standard,Audio,True,True,11.2,0.96,2,3,58.1,7.0,True,
WALS-106825,School (13-17),Undergraduate,Dyslexia,Reading Comprehension,Extensive,Dyslexia-Friendly,19,Low-Stimulation Pastel,Standard,Visual,True,False,20.0,0.51,0,2,85.7,7.0,True,Suggestion: Better Font Controls
WALS-109665,Higher Ed (18-24),Secondary,Autism,Sensory Sensitivity,Some,Standard,12,Default,Simplified,Text,True,False,28.2,0.61,3,0,68.8,10.0,True,Suggestion: Better Font Controls
WALS-101113,Higher Ed (18-24),Undergraduate,Autism,Attention & Distraction,Some,Dyslexia-Friendly,12,Low-Stimulation Pastel,Distraction-Free,Text,False,False,10.5,0.81,1,0,94.2,5.0,True,Neutral: No Strong Opinion
WALS-109256,Higher Ed (18-24),Undergraduate,None (Control),Reading Comprehension,None,Standard,18,Default,Simplified,Multimodal,True,True,6.6,0.59,1,6,86.1,5.0,True,Suggestion: More Audio Content
WALS-104189,School (13-17),Undergraduate,Dyslexia,Reading Comprehension,None,Dyslexia-Friendly,14,Default,Standard,Multimodal,True,True,17.9,0.72,1,2,75.2,9.0,True,Positive: Ease of Use
WALS-106973,Adult Learner (25+),Secondary,Autism,Cognitive Overload,Some,Dyslexia-Friendly,16,Low-Stimulation Pastel,Simplified,Text,False,False,15.5,0.52,2,0,70.2,8.0,True,Suggestion: Better Font Controls
WALS-105399,Higher Ed (18-24),Undergraduate,None (Control),Cognitive Overload,Some,Dyslexia-Friendly,11,Default,Distraction-Free,Multimodal,True,False,14.4,0.53,0,5,62.3,8.0,False,Positive: Ease of Use
WALS-108273,Higher Ed (18-24),Secondary,None (Control),Attention & Distraction,Some,Dyslexia-Friendly,13,Low-Stimulation Pastel,Distraction-Free,Multimodal,True,False,12.0,0.77,6,1,64.0,8.0,False,Suggestion: More Audio Content
WALS-108180,Higher Ed (18-24),Undergraduate,ADHD,Attention & Distraction,,Standard,17,Dark Mode,Simplified,Multimodal,True,True,17.0,0.63,2,2,34.7,,False,
WALS-105781,Higher Ed (18-24),Postgraduate,Dyscalculia,Reading Comprehension,Some,Standard,12,Default,Standard,Multimodal,True,False,17.9,0.35,1,2,80.8,5.0,True,Suggestion: Better Font Controls
WALS-109134,Higher Ed (18-24),Undergraduate,Multiple,Cognitive Overload,Some,Dyslexia-Friendly,12,Dark Mode,Distraction-Free,Audio,False,False,32.3,0.42,2,1,71.5,8.0,False,Neutral: No Strong Opinion
WALS-103853,Adult Learner (25+),Postgraduate,Multiple,Attention & Distraction,Some,Dyslexia-Friendly,17,Low-Stimulation Pastel,Standard,Text,True,False,30.9,0.75,1,2,47.8,5.0,False,Neutral: No Strong Opinion
WALS-108030,Adult Learner (25+),Undergraduate,ADHD,Attention & Distraction,Some,Dyslexia-Friendly,14,Low-Stimulation Pastel,Standard,Audio,False,True,33.5,0.37,1,2,44.5,7.0,False,Neutral: No Strong Opinion
WALS-106724,Higher Ed (18-24),Secondary,ADHD,Attention & Distraction,Extensive,Dyslexia-Friendly,12,Default,Distraction-Free,Multimodal,False,True,16.6,0.48,2,3,100.0,7.0,True,Positive: Ease of Use
WALS-105153-R,Higher Ed (18-24),Postgraduate,None (Control),Attention & Distraction,None,Standard,19,Dark Mode,Distraction-Free,Text,False,False,27.8,0.58,3,1,87.3,9.0,True,Suggestion: More Audio Content
WALS-100033,Higher Ed (18-24),Undergraduate,ADHD,Attention & Distraction,,Dyslexia-Friendly,18,Low-Stimulation Pastel,Distraction-Free,Multimodal,False,True,14.7,0.93,1,2,81.1,,True,
WALS-102818,Adult Learner (25+),Undergraduate,Multiple,Attention & Distraction,,Dyslexia-Friendly,20,High-Contrast,Distraction-Free,Text,False,True,26.3,0.68,1,2,48.3,,False,
WALS-110062,Higher Ed (18-24),Undergraduate,Dyslexia,Reading Comprehension,Extensive,Dyslexia-Friendly,13,Default,Simplified,Visual,False,False,28.0,0.95,1,1,95.8,7.0,True,Positive: Helpful Personalization
WALS-109317,Higher Ed (18-24),Secondary,ADHD,Attention & Distraction,Some,Standard,19,Default,Simplified,Visual,False,True,16.2,0.66,2,3,77.8,8.0,True,Suggestion: Better Font Controls
WALS-101454,Adult Learner (25+),Undergraduate,Dyscalculia,Cognitive Overload,Some,Dyslexia-Friendly,12,Default,Simplified,Text,False,False,24.3,0.48,1,0,76.1,10.0,True,Positive: Ease of Use
WALS-109233,Adult Learner (25+),Undergraduate,ADHD,Attention & Distraction,Extensive,Standard,11,High-Contrast,Distraction-Free,Visual,False,False,16.8,0.8,1,1,66.5,6.0,True,Suggestion: More Audio Content
WALS-103465,Higher Ed (18-24),Secondary,Dyslexia,Reading Comprehension,Extensive,Dyslexia-Friendly,18,Default,Standard,Text,True,False,29.7,0.32,0,1,73.9,9.0,True,Positive: Ease of Use
