id,title,subject,grade,standard,chapter,difficulty,estimated_duration,question,content_type,options,correct_answer,explanation,hints,scaffold_steps,supported_learning_modes,theme_tags,icon_name
6aad5689c039c717b080acf2,Space Star Counting,Mathematics,1,,,1,3,An astronaut explorer saw 4 blue stars and 3 yellow stars in deep space. How many stars did they count in total?,multiple_choice,"[""5 stars"", ""6 stars"", ""7 stars"", ""8 stars""]",7 stars,4 blue stars + 3 yellow stars = 7 total stars!,"[""Start with the 4 blue stars."", ""Count 3 more yellow stars: 5, 6, 7!"", ""4 + 3 = 7.""]",[],"[""Seeing"", ""Doing"", ""Listening""]","[""space"", ""animals"", ""general""]",Calculator
6aad5689c039c717b080acf3,Cosmic Pattern Helper,Mathematics,1,,,2,4,"Look at the pattern: 2, 4, 6, 8, __. What is the next number?",multiple_choice,"[""9"", ""10"", ""11"", ""12""]",10,Each number increases by 2! 8 + 2 = 10.,"[""Notice how much each number jumps."", ""2 + 2 = 4, 4 + 2 = 6, 6 + 2 = 8."", ""Add 2 to 8.""]",[],"[""Seeing"", ""Reading""]","[""coding"", ""space"", ""general""]",Sparkles
6aad5689c039c717b080acf4,Animal Habitat Explorer,Science,1,,,1,4,"Which habitat is home to creatures like dolphins, sea turtles, and clownfish?",multiple_choice,"[""Desert"", ""Ocean"", ""Forest"", ""Mountain""]",Ocean,"Dolphins, sea turtles, and clownfish live in salt water ocean environments!","[""Think about where saltwater creatures swim."", ""It is a vast body of blue water covering most of Earth.""]",[],"[""Seeing"", ""Listening"", ""Reading""]","[""animals"", ""nature""]",Globe
6aad5689c039c717b080acf5,Solar System Giant,Science,1,,,2,5,Which planet in our solar system is famous for its massive ring system?,multiple_choice,"[""Mars"", ""Saturn"", ""Mercury"", ""Venus""]",Saturn,"Saturn is known for its beautiful rings made of ice, dust, and rock particles!","[""It is the 6th planet from the Sun."", ""Its bright rings can be seen with a telescope.""]",[],"[""Seeing"", ""Reading""]","[""space"", ""general""]",Sun
6aad5689c039c717b080acf6,Kind Words & Descriptions,English,1,,,1,3,"Choose the word that describes a dog that loves running, playing catch, and wagging its tail happily.",multiple_choice,"[""Playful"", ""Sleepy"", ""Quiet"", ""Heavy""]",Playful,'Playful' describes someone full of energy and fun!,"[""The dog loves running and playing games."", ""It starts with 'Play'.""]",[],"[""Listening"", ""Reading""]","[""animals"", ""general"", ""stories""]",BookOpen
6aad5689c039c717b080acf7,Rhyme Time Adventure,English,1,,,1,3,Which word rhymes with 'BRIGHT' and 'NIGHT'?,multiple_choice,"[""LIGHT"", ""MOON"", ""DARK"", ""STAR""]",LIGHT,"BRIGHT, NIGHT, and LIGHT all end in the '-ight' sound!","[""Listen closely to the ending sound of 'BRIGHT'."", ""L - IGHT rhymes with N - IGHT.""]",[],"[""Listening"", ""Doing""]","[""music"", ""fantasy"", ""space""]",Music
6aad5689c039c717b080acf8,Colors of the Rainbow,General Knowledge,1,,,1,3,"When sunlight passes through raindrops in the sky, what beautiful natural arch appears?",multiple_choice,"[""Rainbow"", ""Lightning bolt"", ""Comet tail"", ""Tornado""]",Rainbow,A rainbow forms when sunlight bends and reflects through water droplets!,"[""It features red, orange, yellow, green, blue, indigo, and violet."", ""It appears in the sky after a gentle rain shower.""]",[],"[""Seeing"", ""Reading""]","[""art"", ""nature""]",Palette
6aad5689c039c717b080acf9,Robot Navigator Command,Coding/Logic,1,,,1,5,"Help Robot Sparky reach the battery charging pad! Sparky takes 2 steps forward, turns right, and takes 1 step forward. What sequence of commands is that?",multiple_choice,"[""FORWARD, FORWARD, TURN RIGHT, FORWARD"", ""TURN RIGHT, FORWARD, FORWARD"", ""FORWARD, TURN LEFT, FORWARD"", ""BACKWARD, FORWARD, TURN RIGHT""]","FORWARD, FORWARD, TURN RIGHT, FORWARD","Step 1: Forward, Step 2: Forward, Step 3: Turn Right, Step 4: Forward!","[""Break the journey down step by step."", ""First 2 steps move FORWARD, then TURN RIGHT, then 1 step FORWARD.""]",[],"[""Doing"", ""Seeing""]","[""coding"", ""space"", ""games""]",Cpu
6aad5689c039c717b080acfa,Photosynthesis Oxygen Factory,Science,1,,,1,4,"In NCERT Chapter 1, green plants use sunlight and carbon dioxide to make food. What vital gas do they release into the air for astronauts and animals to breathe?",multiple_choice,"[""Oxygen"", ""Carbon dioxide"", ""Nitrogen"", ""Helium""]",Oxygen,"During photosynthesis, plants take in carbon dioxide and water using solar energy captured by chlorophyll, releasing vital oxygen into the atmosphere!","[""Think about the gas animals breathe in every day."", ""Leaves absorb carbon dioxide and give off this gas in daylight."", ""It begins with the letter 'O'.""]",[],"[""Seeing"", ""Reading"", ""Listening""]","[""nature"", ""space"", ""science""]",Sun
6aad5689c039c717b080acfb,Cosmic Heat Conductor,Science,1,,,2,5,"When metal spoons sit in hot soup, heat travels from the hot soup through the spoon to the handle. What is this mode of heat transfer called in NCERT Science?",multiple_choice,"[""Conduction"", ""Convection"", ""Radiation"", ""Insulation""]",Conduction,Conduction is the process where heat is transferred from the hotter end to the colder end of an object through direct molecular contact!,"[""Heat moves through solid metals primarily by this process."", ""It does not involve bulk movement of fluid like convection."", ""The word sounds like 'conduct'.""]",[],"[""Seeing"", ""Doing""]","[""science"", ""space"", ""general""]",Zap
6aad5689c039c717b080acfc,Space Base Circuit Switch,Science,1,,,1,4,"To turn on the rover headlights, the electrical circuit must be complete without any breaks. What is a complete circuit called in NCERT Science?",multiple_choice,"[""Closed circuit"", ""Open circuit"", ""Short circuit"", ""Broken circuit""]",Closed circuit,"When the switch is in the 'ON' position, the electric circuit is complete from positive terminal to negative terminal, forming a closed circuit!","[""Think about whether the loop has any open gaps."", ""Electricity only flows when the path is fully connected."", ""It is the opposite of an 'open' circuit.""]",[],"[""Seeing"", ""Doing""]","[""coding"", ""space"", ""science""]",Cpu
6aad5689c039c717b080acfd,Sub-Zero Temperature Descent,Mathematics,1,,,1,4,"At base camp the temperature is 3°C. At midnight on the planetary ridge, the temperature drops by 8°C. What is the new temperature?",multiple_choice,"[""-5\u00b0C"", ""-11\u00b0C"", ""5\u00b0C"", ""-3\u00b0C""]",-5°C,Starting at +3°C and dropping 8°C gives: 3 - 8 = -5°C!,"[""Start on the number line at positive 3."", ""Move 8 steps to the left toward negative numbers."", ""3 - 3 reaches 0, and 5 more steps left reaches -5.""]",[],"[""Seeing"", ""Reading""]","[""space"", ""nature"", ""mathematics""]",Calculator
